fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-02-27,33.0,1003.0,61.0,0,318.0,79.0,129.0,42.0,18.0
2018-02-28,40.0,917.0,43.0,1,150.0,72.0,188.0,51.0,13.0
2018-03-01,28.0,1048.0,97.0,1,737.0,2.0,266.0,53.0,20.0
2018-03-02,42.0,1005.0,73.0,1,768.0,93.0,92.0,46.0,22.0
2018-03-03,29.0,1063.0,73.0,1,403.0,1.0,449.0,43.0,27.0
2018-03-04,31.0,1073.0,94.0,1,965.0,19.0,345.0,66.0,19.0
2018-03-05,23.0,941.0,40.0,1,970.0,50.0,323.0,63.0,17.0
2018-03-06,38.0,1018.0,98.0,0,308.0,39.0,309.0,53.0,21.0
2018-03-07,39.0,988.0,48.0,0,980.0,25.0,250.0,55.0,21.0
2018-03-08,22.0,1050.0,66.0,0,851.0,36.0,282.0,40.0,23.0
2018-03-09,33.0,1038.0,87.0,1,126.0,96.0,118.0,56.0,25.0
2018-03-10,32.0,1051.0,42.0,0,174.0,8.0,320.0,44.0,21.0
2018-03-11,32.0,935.0,93.0,1,916.0,26.0,317.0,56.0,17.0
2018-03-12,23.0,1039.0,82.0,1,345.0,29.0,251.0,41.0,20.0
2018-03-13,41.0,939.0,48.0,1,135.0,85.0,488.0,59.0,12.0
2018-03-14,30.0,1004.0,25.0,1,976.0,31.0,373.0,79.0,14.0
2018-03-15,28.0,1006.0,58.0,0,989.0,84.0,13.0,43.0,27.0
2018-03-16,30.0,1078.0,85.0,1,413.0,83.0,178.0,52.0,24.0
2018-03-17,38.0,1038.0,48.0,1,180.0,94.0,490.0,48.0,17.0
2018-03-18,37.0,1018.0,46.0,0,752.0,54.0,186.0,39.0,22.0
2018-03-19,26.0,969.0,93.0,0,626.0,100.0,453.0,46.0,25.0
2018-03-20,29.0,971.0,47.0,1,221.0,35.0,451.0,47.0,16.0
2018-03-21,38.0,1015.0,72.0,0,225.0,23.0,1.0,42.0,26.0
2018-03-22,38.0,976.0,60.0,0,964.0,76.0,118.0,66.0,23.0
2018-03-23,27.0,907.0,86.0,1,171.0,53.0,438.0,80.0,18.0
2018-03-24,36.0,1055.0,55.0,1,960.0,17.0,458.0,53.0,15.0
2018-03-25,37.0,984.0,87.0,1,711.0,73.0,485.0,37.0,18.0
2018-03-26,25.0,940.0,50.0,1,184.0,69.0,60.0,42.0,18.0
2018-03-27,35.0,1045.0,21.0,0,711.0,1.0,409.0,27.0,26.0
2018-03-28,37.0,1013.0,59.0,0,298.0,37.0,300.0,54.0,21.0
2018-03-29,35.0,1047.0,48.0,0,300.0,93.0,359.0,56.0,20.0
2018-03-30,32.0,900.0,70.0,0,577.0,93.0,45.0,54.0,23.0
2018-03-31,37.0,972.0,45.0,0,515.0,47.0,374.0,29.0,13.0
2018-04-01,23.0,1025.0,76.0,0,891.0,41.0,499.0,51.0,26.0
2018-04-02,37.0,1087.0,94.0,0,450.0,35.0,341.0,53.0,27.0
2018-04-03,20.0,1062.0,49.0,1,913.0,93.0,213.0,58.0,25.0
2018-04-04,27.0,972.0,27.0,1,500.0,53.0,97.0,57.0,25.0
2018-04-05,32.0,930.0,39.0,1,861.0,33.0,385.0,36.0,30.0
2018-04-06,23.0,1079.0,78.0,0,367.0,0.0,395.0,47.0,29.0
2018-04-07,19.0,964.0,84.0,1,474.0,45.0,110.0,57.0,19.0
2018-04-08,19.0,978.0,54.0,1,769.0,36.0,477.0,54.0,27.0
2018-04-09,21.0,998.0,50.0,1,950.0,40.0,61.0,66.0,20.0
2018-04-10,22.0,1010.0,20.0,0,246.0,83.0,107.0,40.0,32.0
2018-04-11,25.0,969.0,90.0,1,122.0,54.0,252.0,57.0,24.0
2018-04-12,26.0,921.0,29.0,1,747.0,36.0,183.0,52.0,19.0
2018-04-13,28.0,989.0,79.0,1,407.0,17.0,111.0,48.0,24.0
2018-04-14,27.0,1076.0,29.0,0,404.0,82.0,244.0,50.0,27.0
2018-04-15,17.0,937.0,91.0,0,509.0,55.0,298.0,53.0,23.0
2018-04-16,31.0,1064.0,58.0,1,473.0,92.0,118.0,44.0,20.0
2018-04-17,21.0,1011.0,53.0,1,845.0,8.0,448.0,34.0,32.0
2018-04-18,17.0,977.0,89.0,1,418.0,65.0,250.0,60.0,23.0
2018-04-19,27.0,1067.0,80.0,1,264.0,33.0,406.0,42.0,25.0
2018-04-20,24.0,1049.0,50.0,0,210.0,72.0,376.0,51.0,34.0
2018-04-21,22.0,1050.0,60.0,1,911.0,80.0,484.0,47.0,31.0
2018-04-22,22.0,1146.0,99.0,1,156.0,50.0,366.0,35.0,29.0
2018-04-23,30.0,922.0,35.0,0,971.0,74.0,304.0,46.0,27.0
2018-04-24,25.0,979.0,29.0,1,445.0,64.0,333.0,49.0,17.0
2018-04-25,24.0,1081.0,83.0,1,225.0,71.0,39.0,44.0,26.0
2018-04-26,26.0,958.0,60.0,0,660.0,72.0,256.0,52.0,25.0
2018-04-27,18.0,1025.0,47.0,1,322.0,1.0,217.0,32.0,18.0
2018-04-28,25.0,1064.0,27.0,0,367.0,13.0,240.0,45.0,22.0
2018-04-29,24.0,964.0,69.0,0,585.0,20.0,245.0,42.0,20.0
2018-04-30,29.0,1023.0,73.0,1,582.0,20.0,74.0,57.0,23.0
2018-05-01,26.0,1033.0,75.0,1,632.0,44.0,477.0,62.0,24.0
2018-05-02,34.0,950.0,40.0,1,809.0,0.0,389.0,32.0,22.0
2018-05-03,28.0,967.0,80.0,0,331.0,85.0,180.0,50.0,32.0
2018-05-04,26.0,945.0,67.0,1,322.0,25.0,47.0,47.0,21.0
2018-05-05,22.0,1042.0,64.0,1,515.0,47.0,92.0,56.0,17.0
2018-05-06,19.0,952.0,65.0,1,710.0,58.0,352.0,56.0,19.0
2018-05-07,20.0,937.0,82.0,0,821.0,40.0,478.0,66.0,21.0
2018-05-08,34.0,955.0,34.0,1,162.0,35.0,243.0,61.0,11.0
2018-05-09,28.0,982.0,68.0,0,207.0,27.0,241.0,63.0,17.0
2018-05-10,23.0,1022.0,36.0,0,541.0,47.0,472.0,36.0,38.0
2018-05-11,31.0,1005.0,73.0,1,464.0,98.0,152.0,54.0,27.0
2018-05-12,15.0,1034.0,91.0,1,760.0,67.0,174.0,47.0,30.0
2018-05-13,21.0,1053.0,89.0,0,776.0,60.0,429.0,59.0,27.0
2018-05-14,24.0,1007.0,85.0,0,350.0,91.0,256.0,47.0,24.0
2018-05-15,12.0,1008.0,49.0,1,318.0,48.0,75.0,53.0,24.0
2018-05-16,33.0,980.0,68.0,0,820.0,16.0,446.0,37.0,27.0
2018-05-17,32.0,961.0,69.0,0,905.0,44.0,328.0,71.0,16.0
2018-05-18,22.0,1004.0,75.0,0,661.0,25.0,384.0,37.0,32.0
2018-05-19,25.0,1088.0,83.0,1,903.0,38.0,24.0,59.0,34.0
2018-05-20,24.0,1021.0,59.0,0,454.0,32.0,172.0,60.0,17.0
2018-05-21,32.0,964.0,93.0,1,918.0,31.0,141.0,50.0,20.0
2018-05-22,29.0,1009.0,95.0,0,677.0,24.0,351.0,56.0,34.0
2018-05-23,25.0,960.0,36.0,1,910.0,25.0,287.0,47.0,16.0
2018-05-24,37.0,1021.0,28.0,0,550.0,96.0,489.0,54.0,37.0
2018-05-25,20.0,968.0,47.0,0,825.0,7.0,460.0,54.0,32.0
2018-05-26,23.0,917.0,76.0,1,923.0,88.0,484.0,50.0,30.0
2018-05-27,28.0,1038.0,56.0,0,469.0,52.0,215.0,62.0,23.0
2018-05-28,27.0,911.0,45.0,1,392.0,74.0,468.0,47.0,19.0
2018-05-29,28.0,1065.0,82.0,0,926.0,93.0,228.0,50.0,31.0
2018-05-30,25.0,1040.0,92.0,0,785.0,86.0,480.0,57.0,34.0
2018-05-31,30.0,988.0,40.0,1,930.0,65.0,193.0,33.0,25.0
2018-06-01,30.0,970.0,93.0,0,420.0,46.0,430.0,54.0,29.0
2018-06-02,30.0,1030.0,22.0,1,226.0,21.0,201.0,45.0,19.0
2018-06-03,26.0,988.0,78.0,1,188.0,76.0,309.0,38.0,24.0
2018-06-04,31.0,1007.0,66.0,1,653.0,43.0,179.0,59.0,20.0
2018-06-05,22.0,971.0,66.0,0,554.0,99.0,57.0,64.0,27.0
2018-06-06,33.0,1014.0,23.0,0,689.0,92.0,249.0,57.0,27.0
2018-06-07,27.0,1043.0,49.0,1,915.0,37.0,149.0,46.0,22.0
2018-06-08,28.0,1002.0,76.0,1,377.0,61.0,223.0,31.0,31.0
2018-06-09,18.0,990.0,25.0,1,916.0,25.0,424.0,57.0,28.0
2018-06-10,18.0,1058.0,91.0,0,608.0,77.0,361.0,45.0,34.0
2018-06-11,19.0,998.0,76.0,0,568.0,2.0,122.0,53.0,31.0
2018-06-12,32.0,973.0,79.0,1,824.0,29.0,18.0,43.0,22.0
2018-06-13,23.0,1053.0,89.0,1,753.0,58.0,429.0,48.0,38.0
2018-06-14,21.0,984.0,64.0,1,998.0,57.0,198.0,34.0,25.0
2018-06-15,26.0,919.0,44.0,0,402.0,95.0,48.0,33.0,32.0
2018-06-16,12.0,992.0,20.0,0,806.0,70.0,432.0,33.0,34.0
2018-06-17,38.0,994.0,50.0,0,986.0,36.0,126.0,36.0,29.0
2018-06-18,33.0,905.0,62.0,1,770.0,93.0,253.0,46.0,24.0
2018-06-19,25.0,943.0,50.0,1,519.0,52.0,264.0,51.0,14.0
2018-06-20,24.0,991.0,71.0,0,783.0,60.0,151.0,48.0,21.0
2018-06-21,28.0,942.0,23.0,1,220.0,13.0,73.0,47.0,18.0
2018-06-22,27.0,1067.0,95.0,0,103.0,60.0,408.0,51.0,31.0
2018-06-23,27.0,940.0,57.0,0,322.0,60.0,266.0,30.0,24.0
2018-06-24,25.0,902.0,40.0,1,956.0,1.0,350.0,28.0,28.0
2018-06-25,28.0,934.0,36.0,0,931.0,80.0,425.0,56.0,26.0
2018-06-26,26.0,935.0,35.0,1,511.0,67.0,9.0,47.0,20.0
2018-06-27,23.0,1018.0,25.0,0,745.0,100.0,285.0,62.0,31.0
2018-06-28,22.0,1015.0,52.0,1,488.0,100.0,358.0,53.0,33.0
2018-06-29,30.0,1006.0,29.0,1,978.0,35.0,268.0,42.0,23.0
2018-06-30,25.0,1062.0,63.0,1,594.0,21.0,483.0,49.0,19.0
2018-07-01,25.0,992.0,45.0,1,233.0,35.0,284.0,67.0,13.0
2018-07-02,21.0,958.0,36.0,0,860.0,9.0,56.0,48.0,21.0
2018-07-03,23.0,1065.0,68.0,0,273.0,87.0,47.0,52.0,22.0
2018-07-04,24.0,1004.0,56.0,1,588.0,97.0,18.0,67.0,16.0
2018-07-05,24.0,1001.0,47.0,1,804.0,79.0,424.0,48.0,31.0
2018-07-06,27.0,1042.0,65.0,1,1000.0,8.0,291.0,57.0,23.0
2018-07-07,26.0,1101.0,53.0,0,269.0,56.0,292.0,51.0,24.0
2018-07-08,25.0,955.0,64.0,0,963.0,45.0,32.0,44.0,22.0
2018-07-09,24.0,948.0,78.0,0,392.0,41.0,185.0,44.0,22.0
2018-07-10,24.0,976.0,73.0,0,114.0,57.0,448.0,56.0,24.0
2018-07-11,30.0,1030.0,56.0,1,525.0,15.0,91.0,63.0,20.0
2018-07-12,25.0,897.0,36.0,0,210.0,28.0,105.0,57.0,21.0
2018-07-13,34.0,940.0,81.0,1,206.0,97.0,77.0,58.0,23.0
2018-07-14,31.0,997.0,52.0,1,364.0,46.0,43.0,62.0,12.0
2018-07-15,20.0,1026.0,77.0,0,174.0,22.0,302.0,57.0,26.0
2018-07-16,20.0,996.0,76.0,1,174.0,15.0,491.0,51.0,23.0
2018-07-17,36.0,1022.0,45.0,1,669.0,12.0,329.0,51.0,11.0
2018-07-18,20.0,1012.0,85.0,1,149.0,24.0,443.0,54.0,26.0
2018-07-19,14.0,999.0,44.0,0,960.0,87.0,210.0,55.0,26.0
2018-07-20,30.0,1079.0,21.0,1,608.0,94.0,193.0,48.0,17.0
2018-07-21,36.0,1029.0,89.0,0,194.0,45.0,317.0,60.0,24.0
2018-07-22,24.0,984.0,52.0,0,334.0,50.0,389.0,59.0,22.0
2018-07-23,27.0,1006.0,97.0,1,338.0,7.0,437.0,67.0,24.0
2018-07-24,23.0,924.0,52.0,1,317.0,4.0,332.0,51.0,17.0
2018-07-25,30.0,1026.0,69.0,1,671.0,68.0,294.0,51.0,17.0
2018-07-26,30.0,985.0,42.0,0,664.0,2.0,163.0,58.0,17.0
2018-07-27,8.0,965.0,62.0,0,237.0,62.0,182.0,49.0,18.0
2018-07-28,28.0,1037.0,62.0,1,484.0,12.0,471.0,54.0,21.0
2018-07-29,20.0,965.0,44.0,1,793.0,79.0,295.0,51.0,23.0
2018-07-30,31.0,955.0,56.0,1,995.0,60.0,492.0,67.0,24.0
2018-07-31,19.0,985.0,28.0,1,455.0,25.0,216.0,44.0,15.0
2018-08-01,26.0,994.0,71.0,0,617.0,3.0,370.0,34.0,30.0
2018-08-02,24.0,1038.0,70.0,0,227.0,61.0,103.0,34.0,27.0
2018-08-03,21.0,1019.0,25.0,0,439.0,61.0,357.0,45.0,30.0
2018-08-04,18.0,1037.0,41.0,1,908.0,100.0,115.0,37.0,25.0
2018-08-05,18.0,1052.0,83.0,0,654.0,73.0,314.0,43.0,18.0
2018-08-06,23.0,1037.0,56.0,1,435.0,39.0,110.0,59.0,27.0
2018-08-07,22.0,999.0,63.0,0,942.0,25.0,210.0,60.0,23.0
2018-08-08,34.0,1073.0,77.0,1,512.0,62.0,322.0,73.0,22.0
2018-08-09,24.0,1046.0,56.0,1,334.0,11.0,166.0,37.0,17.0
2018-08-10,28.0,1072.0,81.0,1,539.0,5.0,328.0,38.0,19.0
2018-08-11,20.0,1050.0,39.0,0,101.0,51.0,120.0,51.0,22.0
2018-08-12,20.0,962.0,46.0,1,780.0,34.0,29.0,36.0,17.0
2018-08-13,21.0,1009.0,77.0,1,232.0,18.0,31.0,46.0,21.0
2018-08-14,27.0,1003.0,22.0,0,303.0,28.0,217.0,42.0,21.0
2018-08-15,22.0,1082.0,95.0,1,517.0,63.0,438.0,28.0,25.0
2018-08-16,21.0,1029.0,97.0,1,164.0,76.0,409.0,43.0,38.0
2018-08-17,27.0,927.0,65.0,0,815.0,26.0,26.0,61.0,31.0
2018-08-18,22.0,987.0,88.0,1,920.0,71.0,377.0,57.0,28.0
2018-08-19,22.0,955.0,94.0,1,540.0,51.0,31.0,58.0,12.0
2018-08-20,18.0,952.0,46.0,0,902.0,58.0,340.0,58.0,25.0
2018-08-21,22.0,1028.0,98.0,1,424.0,50.0,426.0,45.0,23.0
2018-08-22,21.0,946.0,27.0,0,854.0,9.0,84.0,37.0,17.0
2018-08-23,20.0,990.0,60.0,1,593.0,30.0,223.0,41.0,12.0
2018-08-24,27.0,939.0,54.0,0,548.0,20.0,472.0,48.0,21.0
2018-08-25,23.0,1056.0,81.0,1,477.0,11.0,333.0,35.0,24.0
2018-08-26,26.0,889.0,83.0,1,228.0,46.0,477.0,31.0,26.0
2018-08-27,31.0,1002.0,77.0,0,256.0,12.0,368.0,37.0,29.0
2018-08-28,30.0,1011.0,60.0,1,221.0,13.0,108.0,51.0,21.0
2018-08-29,16.0,1058.0,95.0,1,645.0,18.0,419.0,51.0,28.0
2018-08-30,26.0,1080.0,49.0,1,321.0,3.0,30.0,42.0,26.0
2018-08-31,21.0,974.0,32.0,0,664.0,34.0,279.0,53.0,22.0
2018-09-01,24.0,1123.0,86.0,0,993.0,8.0,200.0,50.0,33.0
2018-09-02,30.0,994.0,80.0,0,939.0,44.0,70.0,33.0,23.0
2018-09-03,27.0,996.0,90.0,1,201.0,62.0,187.0,51.0,18.0
2018-09-04,24.0,987.0,94.0,1,124.0,16.0,335.0,55.0,25.0
2018-09-05,24.0,954.0,38.0,1,861.0,31.0,217.0,45.0,23.0
2018-09-06,25.0,1038.0,45.0,0,197.0,61.0,250.0,56.0,24.0
2018-09-07,18.0,957.0,64.0,0,885.0,44.0,489.0,51.0,25.0
2018-09-08,24.0,1002.0,28.0,1,667.0,10.0,76.0,51.0,18.0
2018-09-09,31.0,952.0,33.0,0,642.0,3.0,122.0,47.0,22.0
2018-09-10,21.0,1056.0,27.0,0,152.0,4.0,219.0,65.0,14.0
2018-09-11,25.0,950.0,55.0,1,366.0,76.0,142.0,53.0,21.0
2018-09-12,31.0,1027.0,76.0,1,546.0,73.0,244.0,49.0,25.0
2018-09-13,35.0,924.0,22.0,1,205.0,55.0,100.0,54.0,13.0
2018-09-14,14.0,937.0,26.0,0,394.0,27.0,377.0,42.0,20.0
2018-09-15,23.0,1044.0,81.0,1,980.0,96.0,146.0,35.0,24.0
2018-09-16,20.0,1032.0,48.0,0,538.0,14.0,105.0,49.0,27.0
2018-09-17,22.0,984.0,54.0,0,709.0,23.0,86.0,50.0,25.0
2018-09-18,31.0,949.0,24.0,1,421.0,78.0,103.0,41.0,26.0
2018-09-19,25.0,1078.0,73.0,1,124.0,18.0,59.0,45.0,24.0
2018-09-20,25.0,1019.0,65.0,0,971.0,70.0,311.0,53.0,29.0
2018-09-21,20.0,939.0,46.0,1,490.0,85.0,413.0,70.0,19.0
2018-09-22,31.0,1038.0,74.0,1,218.0,22.0,93.0,27.0,23.0
2018-09-23,22.0,983.0,49.0,0,423.0,11.0,403.0,38.0,27.0
2018-09-24,24.0,1019.0,29.0,1,813.0,45.0,165.0,64.0,16.0
2018-09-25,27.0,999.0,63.0,1,746.0,75.0,51.0,58.0,22.0
2018-09-26,23.0,966.0,42.0,0,121.0,47.0,358.0,51.0,22.0
2018-09-27,26.0,945.0,54.0,0,683.0,92.0,210.0,44.0,21.0
2018-09-28,24.0,1051.0,97.0,0,906.0,12.0,373.0,44.0,28.0
2018-09-29,24.0,984.0,44.0,1,924.0,68.0,281.0,45.0,20.0
2018-09-30,19.0,1039.0,96.0,1,627.0,51.0,246.0,35.0,20.0
2018-10-01,33.0,1023.0,72.0,0,124.0,17.0,447.0,55.0,29.0
2018-10-02,48.0,1001.0,44.0,0,347.0,48.0,42.0,63.0,23.0
2018-10-03,29.0,985.0,27.0,0,514.0,18.0,323.0,66.0,18.0
2018-10-04,31.0,1039.0,94.0,0,708.0,50.0,25.0,50.0,24.0
2018-10-05,34.0,971.0,50.0,1,178.0,69.0,262.0,58.0,17.0
2018-10-06,31.0,1080.0,21.0,0,743.0,92.0,110.0,62.0,27.0
2018-10-07,30.0,1070.0,95.0,1,433.0,95.0,277.0,62.0,16.0
2018-10-08,32.0,1033.0,50.0,1,298.0,2.0,252.0,55.0,15.0
2018-10-09,27.0,984.0,37.0,1,491.0,100.0,218.0,54.0,15.0
2018-10-10,36.0,1010.0,96.0,0,206.0,44.0,129.0,63.0,26.0
2018-10-11,25.0,961.0,91.0,0,621.0,7.0,6.0,58.0,16.0
2018-10-12,34.0,1013.0,67.0,1,643.0,78.0,122.0,28.0,15.0
2018-10-13,29.0,991.0,61.0,0,526.0,55.0,149.0,52.0,11.0
2018-10-14,36.0,1038.0,85.0,1,795.0,4.0,161.0,59.0,23.0
2018-10-15,33.0,1038.0,99.0,0,795.0,84.0,125.0,44.0,24.0
2018-10-16,33.0,1017.0,24.0,0,695.0,21.0,203.0,34.0,21.0
2018-10-17,26.0,977.0,24.0,1,563.0,35.0,260.0,47.0,11.0
2018-10-18,39.0,1001.0,54.0,0,146.0,68.0,248.0,46.0,23.0
2018-10-19,32.0,1102.0,91.0,1,146.0,100.0,94.0,46.0,14.0
2018-10-20,27.0,975.0,65.0,1,244.0,39.0,319.0,58.0,12.0
2018-10-21,31.0,986.0,90.0,1,553.0,47.0,361.0,70.0,14.0
2018-10-22,18.0,989.0,99.0,0,216.0,44.0,248.0,55.0,20.0
2018-10-23,35.0,938.0,44.0,1,566.0,60.0,312.0,60.0,20.0
2018-10-24,35.0,972.0,90.0,1,468.0,95.0,259.0,44.0,16.0
2018-10-25,34.0,1019.0,28.0,0,745.0,45.0,251.0,50.0,22.0
2018-10-26,18.0,995.0,40.0,1,525.0,99.0,380.0,40.0,19.0
2018-10-27,18.0,1067.0,55.0,0,223.0,39.0,226.0,56.0,23.0
2018-10-28,38.0,1063.0,66.0,1,332.0,15.0,63.0,45.0,13.0
2018-10-29,37.0,984.0,74.0,1,279.0,70.0,375.0,56.0,18.0
2018-10-30,31.0,881.0,99.0,1,314.0,21.0,53.0,55.0,12.0
2018-10-31,28.0,1006.0,60.0,1,448.0,92.0,13.0,36.0,12.0
2018-11-01,30.0,916.0,69.0,0,286.0,74.0,135.0,48.0,17.0
2018-11-02,44.0,1006.0,39.0,0,743.0,18.0,369.0,39.0,32.0
2018-11-03,30.0,1048.0,24.0,1,259.0,95.0,4.0,56.0,13.0
2018-11-04,34.0,982.0,82.0,1,773.0,28.0,118.0,52.0,18.0
2018-11-05,33.0,1004.0,79.0,0,765.0,25.0,290.0,63.0,27.0
2018-11-06,24.0,972.0,36.0,1,143.0,72.0,268.0,71.0,13.0
2018-11-07,32.0,992.0,69.0,1,885.0,16.0,88.0,64.0,14.0
2018-11-08,41.0,930.0,20.0,0,760.0,69.0,205.0,45.0,21.0
2018-11-09,25.0,979.0,32.0,1,889.0,11.0,414.0,50.0,22.0
2018-11-10,32.0,1023.0,94.0,0,271.0,32.0,117.0,50.0,25.0
2018-11-11,37.0,959.0,83.0,1,200.0,80.0,440.0,57.0,29.0
2018-11-12,24.0,1022.0,99.0,0,392.0,3.0,23.0,45.0,24.0
2018-11-13,38.0,990.0,29.0,0,500.0,74.0,396.0,54.0,23.0
2018-11-14,36.0,1056.0,44.0,0,926.0,70.0,470.0,59.0,27.0
2018-11-15,28.0,976.0,70.0,1,505.0,92.0,261.0,32.0,16.0
2018-11-16,31.0,961.0,87.0,1,648.0,93.0,128.0,33.0,14.0
2018-11-17,41.0,1087.0,59.0,1,950.0,67.0,146.0,50.0,22.0
2018-11-18,26.0,967.0,41.0,1,408.0,100.0,345.0,53.0,14.0
2018-11-19,27.0,938.0,84.0,1,649.0,70.0,376.0,31.0,12.0
2018-11-20,40.0,957.0,67.0,0,690.0,65.0,80.0,49.0,15.0
2018-11-21,26.0,1012.0,70.0,0,948.0,51.0,453.0,43.0,29.0
2018-11-22,36.0,957.0,34.0,0,576.0,51.0,72.0,46.0,14.0
2018-11-23,34.0,930.0,25.0,0,212.0,39.0,321.0,48.0,18.0
2018-11-24,35.0,1057.0,47.0,0,646.0,49.0,72.0,32.0,21.0
2018-11-25,28.0,994.0,99.0,0,735.0,38.0,85.0,43.0,23.0
2018-11-26,28.0,959.0,77.0,1,640.0,65.0,204.0,52.0,13.0
2018-11-27,33.0,971.0,73.0,1,940.0,33.0,21.0,49.0,20.0
2018-11-28,35.0,1034.0,89.0,0,705.0,17.0,29.0,45.0,25.0
2018-11-29,24.0,1152.0,24.0,0,786.0,41.0,205.0,36.0,25.0
